name,category_slug,description,maps_url,stories
"Trinity College Dublin",institution,"Trinity College was founded in 1592 by Elizabeth I. It was built upon the grounds of All Hallows, a former Augustinian priory that had been dissolved during the Reformation.",https://maps.app.goo.gl/eKxH9ADKXphahcSD9,After the Race|Two Gallants|The Dead
"Temple Bar",pub-restaurant,"Temple Bar is an area on the south bank of the River Liffey in central Dublin, lined with pubs and restaurants. Farrington moves through this zone on his drinking crawl. Today it's best known as the city's main tourist and nightlife district.",https://maps.app.goo.gl/4PrTkDyaBF5Q4enV6,Counterparts
"Shelbourne Road",street,"Shelbourne Road is a ""lower-middle-class"" residential street in Ballsbridge, connecting Merrion Road toward the Bath Avenue/Haddington Road area. It's where Farrington exits the tram at the end of his exhausting night.",https://maps.app.goo.gl/YssN8pKivxZuEr9K8,Counterparts
"Nelson's Pillar",civic-industrial,"Nelson's Pillar stood on O'Connell Street and was a major city-centre landmark and meeting point, shaping how people navigated central Dublin. It was destroyed in 1966.",https://maps.app.goo.gl/U7yptH7RbLzMgnP26,Clay
"Lucan Road",street,"The Lucan Road runs westward along the south side of the Liffey, connecting Chapelizod to Lucan. Its westward direction connotes a departure — an escape from the city.",https://maps.app.goo.gl/bk4SKWinZJho6wLi9,A Painful Case
"Crowe Street",street,"Crowe Street is located in the Temple Bar area south of the River Liffey. In Grace it is the location of Tom Kernan's workplace in the city.",https://maps.app.goo.gl/xeVAenYKyEd8WPrs7,Counterparts|Grace
"Suffolk Street",street,"Suffolk Street is a short street connecting the Grafton Street area with St Andrew's Street. In Ivy Day in the Committee Room it serves as a meeting point within Dublin's political city centre.",https://maps.app.goo.gl/k3oEHJTmghJsFNf28,Ivy Day in the Committee Room
"O'Connell Bridge",bridge,"O'Connell Bridge is one of Dublin's central bridges connecting the north and south sides of the city. It appears in Counterparts and The Dead marking an important crossing point in Joyce's Dublin.",https://maps.app.goo.gl/i6RqpANZ7QvAUoj78,Two Gallants|Counterparts|The Dead
"Phoenix Park",park,"A 17th-century 707-hectare park created for royal hunting, mentioned as ""the Park"" and ""the Parkgate"" in the Dubliners.",https://maps.app.goo.gl/VcZa8zjNFVvhZBxD7,The Dead
"Johnny Rush's",pub-restaurant,"Johnny Rush's is a pub located on South William St. Historically it was a real business located near Findlater's place.",https://maps.app.goo.gl/sKKSqnhexQJwHi9k8,The Sisters
"Bewley's",pub-restaurant,"A cafe located on Grafton Street which was frequented by Irish literary and artistic figures, including James Joyce.",https://maps.app.goo.gl/hBRDgzzapSicGpW39,A Little Cloud
"Theatre Royal",civic-industrial,"One of three major early 20th-century Dublin theatres, it was primarily used for dramatic presentations. It was demolished in 1962.",https://maps.app.goo.gl/rxdo7cdNqb5UzcwDA,The Dead
"Port and Docks",waterway,"Also known as Dublin Port, established in 1707 and headquartered at different places along the Liffey river.",https://maps.app.goo.gl/R3jm5drynADhb9UbA,The Dead
"Queen's Theatre",civic-industrial,"The Queen's Theatre was characteristically known as a venue for comic and musical acts. In 1969 the theatre was demolished.",https://maps.app.goo.gl/zsMyLGABFSabmHu96,A Mother
"Chapelizod Bridge Pub",pub-restaurant,"It is the unnamed pub only distinguished in the story by its location at the Chapelizod bridge, with its connotations of romance and history, that offers Duffy the ability to feel tenderly.",https://maps.app.goo.gl/wmoZizpuKQ2Kyy1J9,A Painful Case
"Adam and Eve's",church,"Adam and Eve's, the Franciscan church, was from 1889 officially the Church of the Immaculate Conception.",https://maps.app.goo.gl/WcBJPCJXdCNkDHrS8,The Dead
"Ormond Quay",street,"Ormond Quay is one of many waterfront spans of street lining the Liffey in central Dublin. Situated on the north bank, its upper and lower sections are bisected by Capel Street as it becomes Grattan Bridge.",https://maps.app.goo.gl/ib8YjNd2URZ7ueBo6,A Mother
"Merrion Street",street,"In Joyce's time Merrion Street was lined with Georgian townhouses built after Leinster House in 1748. Corley likely worked in one of these affluent homes.",https://maps.app.goo.gl/7vpDfuc1ZKLYUcaS6,Two Gallants
"Grattan Bridge",bridge,"Grattan Bridge crosses the Liffey and joins Capel Street to Parliament Street. It was originally known as Essex Bridge before later rebuilds and renaming.",https://maps.app.goo.gl/PrTPcTFCYqLZhkou7,Two Gallants
"Dublin Castle",civic-industrial,"Situated in the heart of Dublin on Dame Street. A 13th-century structure built on Viking ruins, it served as the headquarters of British administration in Ireland for over 700 years.",https://maps.app.goo.gl/7Wuv9ZJLQhrHzBZ99,Grace
"Shannon Waves",waterway,"Refers to the River Shannon located in the west of Ireland. It flows southward from the Cuilcagh Mountains in County Cavan to the Atlantic Ocean passing through 11 counties.",https://maps.app.goo.gl/rnSMDirZdiyf6nE56,The Dead
"Tivoli Theatre",civic-industrial,"Formerly The Grand Lyric Hall / Lyric Theatre of Varieties, the Tivoli Theatre was located on Burgh Quay on the south bank of the Liffey. It was later acquired by the Irish Press newspaper group in 1930.",https://maps.app.goo.gl/az9ZcZHU3eof7mf4A,Counterparts
"Kavanagh's",pub-restaurant,"A spot for political under-the-table deals, located in Parliament Street between Essex and Dame Streets south of the Liffey.",https://maps.app.goo.gl/dCTr3DbnuepAsLkJ9,Ivy Day in the Committee Room
"St Catherine's Church",church,"St. Catherine's is a Roman Catholic church on Meath Street situated around the corner from Thomas Street.",https://maps.app.goo.gl/QvbYYMYavrafhaRp7,The Sisters
"Earl Street",street,"Earl Street is located near the Liffey running between Sackville (O'Connell) Street and Marlborough Street.",https://maps.app.goo.gl/b5XRvz1RQkM8VJJh7,Two Gallants
"Nassau Street",street,"A prosperous shopping street running along Trinity College's southern boundary. Built on the former site of the 17th-century St. Patrick's Well Lane.",https://maps.app.goo.gl/F7LJ1has6XaVkxKG7,Two Gallants
"Kildare Street",street,"Runs south from Nassau St. to the north side of St. Stephen's Green. Home to the exclusive Kildare Street Club.",https://maps.app.goo.gl/FvWzZgDor4XsVhTB6,Two Gallants
"The Kildare Street Club",civic-industrial,"An exclusive men's club in Joyce's time, predominantly Protestant and Anglo-Irish in membership, located at the corner of Nassau St. and Kildare St.",https://maps.app.goo.gl/Kq3twijfx8hSyFTp8,Two Gallants
"Hume Street",street,"An elegant red-brick Georgian street running east from St. Stephen's Green approximately fifty yards from the northeast corner of the park.",https://maps.app.goo.gl/DkwFDBcuz1drB1V78,Two Gallants
"Duke's Lawn",civic-industrial,"Also known as Leinster House, Duke's Lawn was the former ducal residence of the Duke of Leinster. In 1922 it was turned into the parliament building of the Irish Free State before it became the Republic of Ireland.",https://maps.app.goo.gl/dD7A25vNZdTL9frm6,Two Gallants
"Capel Street",street,"Capel Street is a shopping thoroughfare a few blocks from O'Connell Street. In the 17th century it was an integral part of Dublin's expansion north of the River Liffey.",https://maps.app.goo.gl/QC7K9s749KGQ9xZy5,Two Gallants|A Little Cloud
"City Hall",civic-industrial,"Built on Dame Street by the Guild of Merchants from 1769 to 1779. Before it became City Hall it was known as the Royal Exchange and was the epicentre of trade for Dublin's merchants.",https://maps.app.goo.gl/zkbaH6uEHreameHU8,Two Gallants
"George's Street",street,"George's Street is home to the George's Street Arcade, one of Ireland's first purpose-built shopping centres built in 1881.",https://maps.app.goo.gl/cjEDpK7D26vqpEHfA,Two Gallants|A Little Cloud
"Westmoreland Street",street,"Westmoreland Street links O'Connell Bridge and College Green in central Dublin. It is named after John Fane, 10th Earl of Westmorland, Lord Lieutenant of Ireland from 1789 to 1794.",https://maps.app.goo.gl/JjYSuAdxRrYtyQey5,Two Gallants|Counterparts|Grace
"College of Surgeons",institution,"The Royal College of Surgeons in Ireland (RCSI) was founded in 1784. It is a leading medical institution and the national body for surgery in Ireland, with its historic building located near St Stephen's Green.",https://maps.app.goo.gl/ntKPHN8UtfPFuXyo6,Two Gallants
"Spring Gardens",street,"Spring Garden is a northside area off North Strand Road sitting between the Royal Canal and the River Tolka. Today it survives as Spring Garden Lane. Joyce uses it as a social anchor placing Mrs. Mooney's butcher shop nearby to root her story in Dublin's working-class northside.",https://maps.app.goo.gl/4dZ1RNuFgUoo3Ya39,The Boarding House
"Belfry of George's Church",church,"St George's Church is a notable historic church site located at Hardwicke Place in the north inner city. It was famous for its bells which serve as a potent audio presence in the life of the city in Joyce's novels.",https://maps.app.goo.gl/UYGaQicyYmMhTLBFA,The Boarding House
"Marlborough Street",street,"Marlborough Street is a north inner city street running parallel and just east of O'Connell Street, best known as the location of St Mary's Pro-Cathedral.",https://maps.app.goo.gl/PRfLMU9HyjsmQ1kv6,The Sisters
"North Wall",waterway,"The North Wall area is historically a departure point closely associated with Dublin's docklands and emigration. It sits within the port-side zone running from the Custom House eastward toward Dublin Port along the north bank of the Liffey.",https://maps.app.goo.gl/wTr3RDyFL74EHPdVA,A Little Cloud
"O'Neill's Shop",pub-restaurant,"O'Neill's is a pub on Suffolk Street as part of the city-centre drinking network. It's where the character Farrington slips into ""the dark snug of O'Neill's shop"" for a glass of plain porter.",https://maps.app.goo.gl/TajGhFXjGH9VKS738,Counterparts
"Fleet Street",street,"Fleet Street sits within the central commercial core close to the Temple Bar and Dame Street corridors. It's where Joyce places Terry Kelly's Pawn Office anchoring Farrington's desperation in a real transactional part of the city.",https://maps.app.goo.gl/K881LR34KQC3hozU7,Counterparts
